City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
285,umm lajj,0,SA,1586121893.0,40,25.02,37.27,82.94,2.86
286,bilibino,74,RU,1586121966.0,84,68.05,166.44,-7.58,1.05
287,chadan,46,RU,1586121893.0,73,51.28,91.58,28.29,2.98
288,old orchard beach,75,US,1586121793.0,70,43.52,-70.38,55.0,13.87
289,jhanjharpur,0,IN,1586121893.0,20,26.27,86.28,72.77,7.05
290,la reforma,75,MX,1586121893.0,31,25.08,-108.05,90.0,4.7
291,cabo san lucas,75,MX,1586121602.0,26,22.89,-109.91,88.0,9.17
292,banjar,20,ID,1586121894.0,100,-8.19,114.97,82.4,5.82
293,hasaki,20,JP,1586121967.0,80,35.73,140.83,41.0,3.36
294,batticaloa,8,LK,1586121450.0,77,7.71,81.69,79.29,4.27
295,leningradskiy,100,RU,1586121404.0,88,69.38,178.42,-1.82,18.9
296,pitimbu,20,BR,1586121448.0,83,-7.47,-34.81,84.2,6.93
297,ugoofaaru,11,MV,1586121894.0,68,5.67,73.0,84.15,5.64
298,ahuimanu,40,US,1586121446.0,69,21.44,-157.84,80.6,8.05
299,luis correia,75,BR,1586121895.0,89,-2.88,-41.67,84.2,11.41
300,komsomolskiy,63,UZ,1586121387.0,72,40.43,71.72,59.0,4.7
301,krasnogorskoye,2,RU,1586121895.0,82,52.3,86.2,33.39,4.14
302,vinh,95,VN,1586121736.0,87,18.67,105.67,66.47,7.07
303,forestville,40,US,1586121895.0,42,38.85,-76.88,73.0,4.7
304,crotone,92,IT,1586121895.0,72,39.09,17.12,54.97,11.65
305,hammerfest,20,NO,1586121241.0,73,70.66,23.68,32.0,10.29
306,broome,90,US,1586121374.0,58,42.25,-75.83,62.01,13.87
307,ossora,64,RU,1586121896.0,91,59.24,163.07,17.62,6.13
308,butembo,46,CD,1586121896.0,63,0.15,29.28,58.37,1.14
309,esperance,90,AU,1586121969.0,76,-33.87,121.9,57.2,10.29
310,ahipara,100,NZ,1586121969.0,64,-35.17,173.17,63.57,11.68
311,tabora,99,TZ,1586121896.0,66,-5.02,32.8,65.93,3.76
312,oltu,100,TR,1586121896.0,43,40.55,42.0,47.75,5.84
313,san juan evangelista,5,MX,1586121896.0,74,17.9,-95.13,86.0,28.86
314,takahagi,20,JP,1586121896.0,80,36.72,140.72,39.0,6.93
315,huaicheng,99,CN,1586121896.0,87,23.91,112.19,59.09,2.04
316,weiser,40,US,1586121897.0,47,44.25,-116.97,57.2,4.7
317,bambous virieux,40,MU,1586121897.0,78,-20.34,57.76,78.8,8.05
318,mandalgovi,95,MN,1586121897.0,33,45.76,106.27,40.51,8.39
319,taoudenni,0,ML,1586121897.0,13,22.68,-3.98,83.62,6.24
320,meadow lake,1,US,1586121897.0,12,34.8,-106.54,73.99,9.17
321,kilindoni,4,TZ,1586121897.0,73,-7.91,39.67,83.16,6.69
322,tuktoyaktuk,90,CA,1586121970.0,85,69.45,-133.04,23.0,24.16
323,korla,0,CN,1586121898.0,35,41.76,86.15,59.0,1.99
324,tacoronte,75,ES,1586121898.0,88,28.48,-16.41,71.01,13.87
325,burgeo,76,CA,1586121898.0,95,47.62,-57.62,32.07,5.73
326,nehe,94,CN,1586121898.0,84,48.48,124.83,32.9,16.17
327,faanui,4,PF,1586121971.0,74,-16.48,-151.75,83.25,10.54
328,elizabeth city,1,US,1586121898.0,52,36.29,-76.25,68.0,11.41
329,mansehra,100,PK,1586121898.0,43,34.33,73.2,53.8,6.13
